,Arrangement,Oppenheimer,Barbie,NoWins,Compromise,TokenLimitExceeded,ConfusedIdentity,Total
0,EC,1,7,35,10,0,1,53
1,AE,3,2,24,9,0,0,38
2,DC,3,2,42,10,0,1,57
3,CB,3,20,61,29,0,3,113
4,AB,15,17,176,68,0,17,276
5,CF,0,4,24,12,0,0,40
6,FC,1,5,23,6,0,0,35
7,DD,1,4,48,5,0,1,58
8,AF,1,3,24,10,0,1,38
9,BB,12,52,147,66,0,15,277
10,EB,2,8,29,19,0,2,58
11,EA,1,5,27,14,0,0,47
12,CA,2,26,68,21,0,2,117
13,AA,6,25,204,49,0,7,284
14,DB,3,4,40,11,0,2,58
15,DF,3,2,43,11,0,0,59
16,BE,2,13,41,9,0,0,65
17,EF,0,2,24,8,0,0,34
18,CD,2,8,32,12,0,0,54
19,BA,17,33,172,65,0,3,287
20,FE,0,7,21,7,0,0,35
21,CE,1,12,13,12,0,1,38
22,FB,0,3,23,9,0,1,35
23,CC,4,22,74,19,0,0,119
24,DA,2,7,22,5,0,1,36
25,BC,2,7,45,15,0,2,69
26,FF,1,5,17,12,0,1,35
27,BF,1,15,43,10,0,1,69
28,ED,0,8,19,8,0,1,35
29,AD,1,4,28,6,0,0,39
30,EE,0,5,25,5,0,2,35
31,FA,1,4,24,6,0,1,35
32,DE,3,8,38,10,0,0,59
33,AC,3,7,24,5,0,2,39
34,BD,1,14,43,10,0,1,68
35,FD,0,8,18,9,0,0,35
